book,chapter,word_count
1818 Edition,0,5537
1818 Edition,1,2958
1818 Edition,2,2223
1818 Edition,3,2556
1818 Edition,4,2367
1818 Edition,5,2686
1818 Edition,6,3564
1818 Edition,7,3088
1818 Edition,8,2062
1818 Edition,9,2261
1818 Edition,10,2912
1818 Edition,11,2075
1818 Edition,12,2043
1818 Edition,13,1863
1818 Edition,14,3022
1818 Edition,15,3079
1818 Edition,16,2066
1818 Edition,17,2691
1818 Edition,18,2552
1818 Edition,19,3470
1818 Edition,20,3690
1818 Edition,21,3326
1818 Edition,22,2525
1818 Edition,23,8273
1831 Edition,0,8496
1831 Edition,1,1789
1831 Edition,2,2215
1831 Edition,3,2701
1831 Edition,4,2543
1831 Edition,5,2404
1831 Edition,6,2732
1831 Edition,7,3583
1831 Edition,8,3114
1831 Edition,9,2228
1831 Edition,10,2366
1831 Edition,11,2914
1831 Edition,12,2075
1831 Edition,13,2042
1831 Edition,14,1856
1831 Edition,15,3020
1831 Edition,16,3214
1831 Edition,17,1926
1831 Edition,18,2861
1831 Edition,19,2620
1831 Edition,20,3537
1831 Edition,21,3751
1831 Edition,22,3435
1831 Edition,23,2599
1831 Edition,24,8319
